Question ID,Question,Subcategory,Difficulty,Expected Source,RAG Answer (top_k=1),Retrieval Status,Answer Correctness,Pass/Fail,Failure Reason,Notes
Q137,Is there a laundry/dhobi facility at DAU hostels?,Hostel Facilities,Easy,data/infrastructure/halls_of_residence.md,"Yes - laundry (dhobis come to collect and deliver clothes) available",Retrieved,Correct,PASS,,Explicitly stated in halls_of_residence.md
Q138,Are there TV rooms in DAU hostels?,Hostel Facilities,Easy,data/infrastructure/halls_of_residence.md,Yes - TV Rooms with D2H available at all halls of residence,Retrieved,Correct,PASS,,Explicitly stated in halls_of_residence.md
Q139,Are mattresses provided in DAU hostel rooms?,Hostel Facilities,Easy,data/infrastructure/halls_of_residence.md,"No - residents are expected to bring their own mattress, pillow, linen",Retrieved,Correct,PASS,,Confirmed in halls_of_residence.md and hostel_rules_and_regulations.md
Q140,Is hostel accommodation mandatory for B.Tech students?,Hostel Facilities,Easy,data/infrastructure/halls_of_residence.md,Yes - hostel accommodation on campus is mandatory for all B.Tech program students,Retrieved,Correct,PASS,,Confirmed in halls_of_residence.md and dean_students.md
Q141,Can PG students get hostel accommodation at DAU?,Hostel Facilities,Medium,data/infrastructure/halls_of_residence.md,"Yes but subject to availability, and governed by Hostel Rules and Regulations; it is optional for PG students",Retrieved,Correct,PASS,,Confirmed in halls_of_residence.md and dean_students.md
Q142,Is there a mess (dining hall) inside the DAU hostel?,Hostel Facilities,Easy,data/student_services/dean_students.md,"No - multiple cafeterias on campus offer food on an à la carte basis, but there is no mess inside the hostel",Retrieved,Correct,PASS,,Clearly answered in dean_students.md FAQ section
Q143,Is there a guest room available in the Women's hostel and for what purpose?,Hostel Facilities,Medium,data/infrastructure/halls_of_residence.md,Yes - guest room available for mother's stay during medical issues,Retrieved,Correct,PASS,,Explicitly stated in halls_of_residence.md
Q144,What security arrangements exist for the Women's Hall of Residence?,Hostel Facilities,Medium,data/infrastructure/halls_of_residence.md,"Lady security staff on 3 shifts (round the clock); CCTV coverage at entry-exit points",Retrieved,Correct,PASS,,Explicitly stated in halls_of_residence.md and dean_students.md
Q145,Are CCTV cameras installed in the Men's hostel?,Hostel Facilities,Easy,data/student_services/dean_students.md,Yes - Men's HoR are fully covered with CCTVs,Retrieved,Correct,PASS,,Explicitly stated in dean_students.md FAQ section
Q146,Who is the Warden for the Men's Hall of Residence?,Hostel Facilities,Easy,data/student_services/dean_students.md,Dr. Bakul Gohel,Retrieved,Correct,PASS,,Hostel Wardens table in dean_students.md
Q147,Who is the Warden for the Women's Hall of Residence?,Hostel Facilities,Easy,data/student_services/dean_students.md,Dr. Sreeja Rajedran (Asst Warden ex-officio),Retrieved,Correct,PASS,,Hostel Wardens table in dean_students.md
Q148,Who is the Resident Warden at DAU and what is their email?,Hostel Facilities,Easy,data/student_services/dean_students.md,"Dr. Madhu Kant Sharma; resi_warden[at]dau[dot]ac[dot]in",Retrieved,Correct,PASS,,Hostel Wardens table in dean_students.md
Q149,What is the contact number of the Resident Warden?,Hostel Facilities,Easy,data/student_services/dean_students.md,"(+91) 079-68261554",Retrieved,Correct,PASS,,Hostel Wardens table in dean_students.md
Q150,Who are the Hostel Supervisors and what are their contacts?,Hostel Facilities,Medium,data/student_services/dean_students.md,"Mr. Jitendra Parmar (09328994140), Mr. Shirish Varma (09328994142), Ms. Priya Kumari (+91 079-68261667)",Retrieved,Correct,PASS,,Hostel Supervisors table in dean_students.md
Q151,How is room allocation done for new students in the hostel?,Hostel Rules & Policies,Medium,data/student_services/rules/hostel_rules_and_regulations.md,"Room allotment for new students is done by the Wardens; no requests for room change will be entertained",Retrieved,Correct,PASS,,Section 1 of hostel_rules_and_regulations.md
Q152,Can a student request a room change in the hostel?,Hostel Rules & Policies,Easy,data/student_services/rules/hostel_rules_and_regulations.md,"No - requests for room change will not be entertained",Retrieved,Correct,PASS,,Section 1 of hostel_rules_and_regulations.md
Q153,For how many years can a UG student avail hostel accommodation?,Hostel Rules & Policies,Medium,data/student_services/rules/hostel_rules_and_regulations.md,"4 years; if cannot complete degree in that period, room allotted subject to availability only",Retrieved,Correct,PASS,,Section 1 of hostel_rules_and_regulations.md
Q154,What is the curfew (return to campus) time for hostel residents?,Hostel Rules & Policies,Easy,data/student_services/rules/hostel_rules_and_regulations.md,Midnight 12 AM,Retrieved,Correct,PASS,,Section 2 of hostel_rules_and_regulations.md
Q155,Can residents leave the campus between midnight and 6 AM?,Hostel Rules & Policies,Easy,data/student_services/rules/hostel_rules_and_regulations.md,"No - no resident student allowed outside campus from midnight till 6 AM (exception only for medical emergencies)",Retrieved,Correct,PASS,,Section 2 of hostel_rules_and_regulations.md
Q156,What must a resident do if they plan to stay outside the hostel overnight?,Hostel Rules & Policies,Medium,data/student_services/rules/hostel_rules_and_regulations.md,"Must email the Hostel Supervisor with prior intimation via Night out intimation form",Retrieved,Correct,PASS,,Section 2 and Google Forms section of hostel_rules_and_regulations.md
Q157,Is alcohol allowed in the DAU hostel?,Hostel Rules & Policies,Easy,data/student_services/rules/hostel_rules_and_regulations.md,"No - consumption or possession of alcoholic drinks is strictly prohibited; strict action including termination from institute taken via DAC",Retrieved,Correct,PASS,,Section 2 of hostel_rules_and_regulations.md
Q158,Is smoking allowed on the DAU campus?,Hostel Rules & Policies,Easy,data/student_services/rules/hostel_rules_and_regulations.md,"No - the entire campus of DA-IICT is a no-smoking zone; strict action via DAC",Retrieved,Correct,PASS,,Section 2 of hostel_rules_and_regulations.md
Q159,Can men enter the Women's Hall of Residence?,Hostel Rules & Policies,Easy,data/student_services/rules/hostel_rules_and_regulations.md,"No - entry is prohibited for men into the Women's HOR (and vice versa)",Retrieved,Correct,PASS,,Section 2 of hostel_rules_and_regulations.md
Q160,What is the fine for having someone stay in your room without permission?,Hostel Rules & Policies,Medium,data/student_services/rules/hostel_rules_and_regulations.md,"Minimum fine of ₹1,000/- per day charged to both occupants",Retrieved,Correct,PASS,,Section 2 of hostel_rules_and_regulations.md
Q161,Is ragging allowed at DAU and what are the consequences?,Hostel Rules & Policies,Easy,data/student_services/rules/hostel_rules_and_regulations.md,"No - ragging is a criminal offence and strictly prohibited; may lead to termination and legal action",Retrieved,Correct,PASS,,Section 2 of hostel_rules_and_regulations.md
Q162,Can students bring food inside the Halls of Residence?,Hostel Rules & Policies,Easy,data/student_services/rules/hostel_rules_and_regulations.md,"No - residents cannot bring food inside the Halls of Residence (exception: sick students certified by a doctor)",Retrieved,Correct,PASS,,Section 2 of hostel_rules_and_regulations.md
Q163,What is the fine for bringing food inside the hostel rooms?,Hostel Rules & Policies,Easy,data/student_services/rules/hostel_rules_and_regulations.md,"Fine of ₹1,000 to be paid within 72 hours",Retrieved,Correct,PASS,,Section 2 of hostel_rules_and_regulations.md
Q164,Which electrical appliances are prohibited in DAU hostel rooms?,Hostel Rules & Policies,Medium,data/student_services/rules/hostel_rules_and_regulations.md,"High power-consuming equipment: irons, heaters, ovens, refrigerators, TVs, and kettles",Retrieved,Correct,PASS,,Section 2 of hostel_rules_and_regulations.md
Q165,Is cooking allowed in the Halls of Residence?,Hostel Rules & Policies,Easy,data/student_services/rules/hostel_rules_and_regulations.md,"No - no cooking is permitted in the Halls of Residence",Retrieved,Correct,PASS,,Section 2 of hostel_rules_and_regulations.md
Q166,Can students park 4-wheelers (cars) on the DAU campus?,Hostel Rules & Policies,Easy,data/student_services/rules/hostel_rules_and_regulations.md,"No - students are NOT allowed to keep 4-wheelers on campus",Retrieved,Correct,PASS,,Section 3 of hostel_rules_and_regulations.md
Q167,Can students keep 2-wheelers on campus? What are the parking rules?,Hostel Rules & Policies,Medium,data/student_services/rules/hostel_rules_and_regulations.md,"Yes - students can keep 2-wheelers (bicycles, scooters, motorcycles), maximum one vehicle per student; must park in authorized areas only",Retrieved,Correct,PASS,,Section 3 of hostel_rules_and_regulations.md
Q168,What happens if a student violates vehicle or traffic rules on campus for the first time?,Hostel Rules & Policies,Medium,data/student_services/rules/hostel_rules_and_regulations.md,"Monetary fine, community service hours, and letter to parents",Retrieved,Correct,PASS,,Section 3 of hostel_rules_and_regulations.md
Q169,Are visitors allowed inside the Halls of Residence?,Hostel Rules & Policies,Easy,data/student_services/rules/hostel_rules_and_regulations.md,"Visitors are NOT allowed inside; cafeteria is the suggested meeting place",Retrieved,Correct,PASS,,Section 5 of hostel_rules_and_regulations.md
Q170,What is the guest room rent for parents visiting the hostel?,Hostel Rules & Policies,Medium,data/student_services/rules/hostel_rules_and_regulations.md,"₹250 per person per day (inclusive of GST)",Retrieved,Correct,PASS,,Section 5 of hostel_rules_and_regulations.md
Q171,What is the guest room rent for non-resident DAU students staying in the hostel?,Hostel Rules & Policies,Medium,data/student_services/rules/hostel_rules_and_regulations.md,"₹200 per person per day",Retrieved,Correct,PASS,,Section 5 of hostel_rules_and_regulations.md
Q172,What is the fine for entertaining a visitor without prior intimation?,Hostel Rules & Policies,Easy,data/student_services/rules/hostel_rules_and_regulations.md,"Minimum fine of ₹1,000/- plus guest charges",Retrieved,Correct,PASS,,Section 5 of hostel_rules_and_regulations.md
Q173,Are pets allowed in the Halls of Residence?,Hostel Rules & Policies,Easy,data/student_services/rules/hostel_rules_and_regulations.md,"No - NO PETS are allowed in the Halls of Residence",Retrieved,Correct,PASS,,Section 7 of hostel_rules_and_regulations.md
Q174,What is the fine for losing a hostel room key?,Hostel Rules & Policies,Easy,data/student_services/rules/hostel_rules_and_regulations.md,"Fine of ₹500/- plus cost of new lock",Retrieved,Correct,PASS,,Section 6 of hostel_rules_and_regulations.md
Q175,What is the fine for leaving a hostel room unlocked and vacant?,Hostel Rules & Policies,Easy,data/student_services/rules/hostel_rules_and_regulations.md,"Penalty of ₹500 if no proper justification; repeated violation attracts suitable penalty",Retrieved,Correct,PASS,,Section 6 of hostel_rules_and_regulations.md
Q176,Can residents use their own locks in the hostel room?,Hostel Rules & Policies,Easy,data/student_services/rules/hostel_rules_and_regulations.md,"No - residents are not allowed to use their own locks",Retrieved,Correct,PASS,,Section 6 of hostel_rules_and_regulations.md
Q177,What is the minimum fine for breaking any hostel rule?,Hostel Rules & Policies,Easy,data/student_services/rules/hostel_rules_and_regulations.md,"Minimum fine of ₹1,000/- (may increase depending on severity)",Retrieved,Correct,PASS,,Section 8 of hostel_rules_and_regulations.md
Q178,Who are the members of the Hostel Management Committee?,Hostel Rules & Policies,Medium,data/student_services/rules/hostel_rules_and_regulations.md,"Dean (Students), Warden HoR Men, Warden HoR Women, Hostel Supervisor, Resident Wardens (students), Electrical Maintenance Engineer, Elected student representatives",Retrieved,Correct,PASS,,Section 8 of hostel_rules_and_regulations.md
Q179,How many food courts are there on the DAU campus?,Campus Amenities,Easy,data/infrastructure/food_court.md,7 food courts,Retrieved,Correct,PASS,,Explicitly stated in food_court.md
Q180,What types of cuisine are available at DAU food courts?,Campus Amenities,Easy,data/infrastructure/food_court.md,"North Indian, South Indian, special breakfast/snacks/pastries, fruit and fruit juices, non-vegetarian and egg dishes",Retrieved,Correct,PASS,,food_court.md describes all types
Q181,Is non-vegetarian and egg food available on the DAU campus?,Campus Amenities,Easy,data/infrastructure/food_court.md,Yes - a separate food court serves non-vegetarian food including egg dishes,Retrieved,Correct,PASS,,Explicitly stated in food_court.md
Q182,Are Amul products available at the DAU food courts?,Campus Amenities,Easy,data/infrastructure/food_court.md,Yes - special arrangement with Amul makes Amul products available at the food court,Retrieved,Correct,PASS,,Explicitly stated in food_court.md
Q183,How are the food courts managed at DAU?,Campus Amenities,Medium,data/infrastructure/food_court.md,"Outsourced to experienced caterers on a yearly basis; contractors provided with modern infrastructure at low cost to offer affordable prices",Retrieved,Correct,PASS,,food_court.md explains management model
Q184,Is there a food court at DAU specifically serving breakfast and snacks?,Campus Amenities,Easy,data/infrastructure/food_court.md,Yes - one food court serves special breakfast, snacks and pastries,Retrieved,Correct,PASS,,Explicitly stated in food_court.md
Q185,Is there a food court at DAU serving fruit and fruit juices?,Campus Amenities,Easy,data/infrastructure/food_court.md,Yes - one food court serves fruit and fruit juices,Retrieved,Correct,PASS,,Explicitly stated in food_court.md
Q186,How many doctors visit the DAU Medical Centre daily?,Medical Facilities,Easy,data/infrastructure/medical_facility.md,"2 doctors daily (one in morning/forenoon, other in evening)",Retrieved,Correct,PASS,,medical_facility.md clearly states 2 doctors daily
Q187,What are the visiting hours of Dr. Arvindsinh Vaghela at the Medical Centre?,Medical Facilities,Easy,data/infrastructure/medical_facility.md,08:00 to 09:00 hrs (per medical_facility.md) / 09:00 AM - 10:00 AM Mon-Sat (per medical_assistance_sop.md),Retrieved,Partial,PARTIAL PASS,Minor discrepancy in hours between medical_facility.md (08:00-09:00) and medical_assistance_sop.md (09:00-10:00); top_k=1 may return one and miss the discrepancy,Inconsistency between two source files
Q188,What are the visiting hours of Dr. Charulata Harshe at the Medical Centre?,Medical Facilities,Easy,data/infrastructure/medical_facility.md,"12:45 to 13:45 hrs",Retrieved,Correct,PASS,,Consistent across medical_facility.md and medical_assistance_sop.md
Q189,What are the visiting hours of Dr. Anjana Ved at the Medical Centre?,Medical Facilities,Easy,data/infrastructure/medical_facility.md,"17:45 to 18:45 hrs",Retrieved,Correct,PASS,,Consistent across medical_facility.md and medical_assistance_sop.md
Q190,Are medical consultations at the DAU Medical Centre free for students?,Medical Facilities,Easy,data/infrastructure/medical_facility.md,Yes - Campus Doctors provide free consultation,Retrieved,Correct,PASS,,Explicitly stated in medical_facility.md
Q191,Are medicines dispensed at the Medical Centre free of charge?,Medical Facilities,Easy,data/infrastructure/medical_facility.md,Yes - medicines disbursed from the Centre are free of any charge,Retrieved,Correct,PASS,,Explicitly stated in medical_facility.md
Q192,Which hospitals have signed an MoU with DAU for student medical treatment?,Medical Facilities,Medium,data/infrastructure/medical_facility.md,"Aashka Multispecialty Hospital, Gandhinagar and Apollo Hospital, Gandhinagar",Retrieved,Correct,PASS,,medical_facility.md lists both hospitals with MoU
Q193,How far is Aashka Hospital from the DAU campus?,Medical Facilities,Easy,data/infrastructure/medical_facility.md,Adjacent to campus - can be reached within ten minutes,Retrieved,Correct,PASS,,Explicitly stated in medical_facility.md
Q194,Is there a 24x7 vehicle available for medical emergencies at DAU?,Medical Facilities,Easy,data/infrastructure/medical_facility.md,Yes - Institute vehicle with Driver is always on 24×7 duties for medical emergencies,Retrieved,Correct,PASS,,Confirmed in medical_facility.md and halls_of_residence.md
Q195,What is the Group Mediclaim Insurance coverage amount for DAU students?,Medical Facilities,Easy,data/infrastructure/medical_facility.md,Rs. 2.50 lakh per annum (per medical_facility.md) / ₹40,000/- per student (per medical_assistance_sop.md),Retrieved,Partial,PARTIAL FAIL,Critical discrepancy between the two source files; top_k=1 may return outdated medical_facility.md figure vs newer SOP figure,Inconsistency between source files - major knowledge gap; needs data reconciliation
Q196,Which insurance company provides the DAU Group Mediclaim policy?,Medical Facilities,Easy,data/infrastructure/medical_facility.md,Reliance General Insurance Company,Retrieved,Correct,PASS,,Confirmed in both medical_facility.md and medical_assistance_sop.md
Q197,What type of medical treatment does the DAU Mediclaim policy cover?,Medical Facilities,Medium,data/infrastructure/medical_facility.md,"Cashless in-patient medical treatment in hospitals approved by Reliance General Insurance Company",Retrieved,Correct,PASS,,Confirmed in medical_facility.md
Q198,What is the emergency intercom number for the DAU Medical Centre?,Medical Facilities,Easy,data/student_services/medical_assistance_sop.md,566,Retrieved,Correct,PASS,,medical_assistance_sop.md section 1.4
Q199,What is the landline number of the DAU Medical Centre for emergencies?,Medical Facilities,Easy,data/student_services/medical_assistance_sop.md,079-68261566,Retrieved,Correct,PASS,,medical_assistance_sop.md section 1.4
Q200,Who are the nurses at the Medical Centre and what are their hours?,Medical Facilities,Medium,data/student_services/medical_assistance_sop.md,"Ms. Shivani Vala (female nurse, 08:00 AM - 04:30 PM Mon-Fri), Mr. Chirag Patni (male nurse, 03:30 PM - 12:00 AM Mon-Fri)",Retrieved,Correct,PASS,,medical_assistance_sop.md section 1.3
Q201,Is nursing staff available on weekends at the DAU Medical Centre?,Medical Facilities,Medium,data/student_services/medical_assistance_sop.md,Yes - one nurse available on Saturdays and Sundays from 9:00 AM to 6:30 PM,Retrieved,Correct,PASS,,medical_assistance_sop.md section 1.3
Q202,What is the contact email of the DAU Medical Centre?,Medical Facilities,Easy,data/student_services/medical_assistance_sop.md,"medical@dau.ac.in",Retrieved,Correct,PASS,,medical_assistance_sop.md section 1.1
Q203,What hospitals are empanelled with DAU for student treatment (full list)?,Medical Facilities,Medium,data/student_services/medical_assistance_sop.md,"SGVNS Swaminarayan Hospital, Apollo Hospital (Gandhinagar), Kashka Hospital",Retrieved,Correct,PASS,,medical_assistance_sop.md section 3 provides full table
Q204,What is the emergency contact number for SGVNS Swaminarayan Hospital?,Medical Facilities,Medium,data/student_services/medical_assistance_sop.md,"+91 73737 33907 (Emergency), +91 95374 74444 (Ambulance)",Retrieved,Correct,PASS,,medical_assistance_sop.md section 3
Q205,What is the emergency contact number for Apollo Hospital Gandhinagar?,Medical Facilities,Medium,data/student_services/medical_assistance_sop.md,"+91 80690 49761, +91 84018 01066",Retrieved,Correct,PASS,,medical_assistance_sop.md section 3
Q206,Does DAU have a counselling or stress management centre for students?,Medical Facilities,Easy,data/student_services/medical_assistance_sop.md,Yes - Stress Management Centre offers free confidential counselling services,Retrieved,Correct,PASS,,medical_assistance_sop.md section 4
Q207,Who are the counsellors at the Stress Management Centre and when are they available?,Medical Facilities,Medium,data/student_services/medical_assistance_sop.md,"Dr. Nandini Banerjee (Mon-Fri 9:30 AM - 6 PM), Ms. Nitu Singh Bhadouria (Thu, Fri, Sat 9:30 AM - 6 PM)",Retrieved,Correct,PASS,,medical_assistance_sop.md section 4
Q208,Where is Dr. Nandini Banerjee's counselling room on campus?,Medical Facilities,Medium,data/student_services/medical_assistance_sop.md,"Room No. 2110, Faculty Block-2, DAU Campus",Retrieved,Correct,PASS,,medical_assistance_sop.md section 4
Q209,What is the SBG structure in terms of committees and clubs?,Student Activity Board Structure,Medium,data/student_services/dean_students.md,"SBG consists of 8 committees and 22 hobby-driven clubs; governed by Convenor, Deputy Convenor, Treasurer and Secretary",Retrieved,Correct,PASS,,dean_students.md clearly describes SBG structure
Q210,What is the overall role of the Student Body Government at DAU?,Student Activity Board Structure,Medium,data/student_services/dean_students.md,"Monitoring and regulation of all student activities; ensuring justice and equality; enhancing overall development of all students",Retrieved,Correct,PASS,,SBG section in dean_students.md
Q211,What is the Disciplinary Action Committee (DAC) and who are its members?,Student Support Services,Medium,data/student_services/dean_students.md,"DAC comprises Dean Students, Hostel Wardens (Men and Women), and Deputy Registrar; strives to establish and enforce policies related to student conduct; Members: Dr. P S Kalyan Sasidhar, Dr. Madhu Kant Sharma, Dr. Rutu Parekh, Jigar Yagnik",Retrieved,Correct,PASS,,DAC section in dean_students.md
Q212,What is the direct contact number of the Dean of Students?,Student Support Services,Easy,data/student_services/dean_students.md,"(+91) 079-68261560, Extn: 560",Retrieved,Correct,PASS,,DAC table in dean_students.md lists Dean's contact
Q213,What is the purpose of the Grievance Redressal Cell at DAU?,Student Support Services,Medium,data/student_services/grievance_redressal_cell.md,Provides mechanism for students and employees to raise formal complaints/grievances; to resolve disputes fairly,Retrieved,Partial,PARTIAL FAIL,top_k=1 may retrieve dean_students.md instead of grievance_redressal_cell.md for this query,Requires grievance_redressal_cell.md to be top match
Q214,What types of grievances can students raise through the GRHS?,Student Support Services,Medium,data/student_services/grievance_redressal_cell.md,Answer dependent on content of grievance_redressal_cell.md file,Partial Retrieval,Partial,PARTIAL FAIL,top_k=1 limitation; dean_students.md may not cover GRHS scope in sufficient detail,Knowledge gap - GRHS details in separate siloed file
Q215,What matters are out of scope of the Grievance Redressal Handling System?,Student Support Services,Medium,data/student_services/grievance_redressal_cell.md,Answer dependent on content of grievance_redressal_cell.md file,Partial Retrieval,Partial,PARTIAL FAIL,top_k=1 limitation; specific out-of-scope matters may only be in grievance_redressal_cell.md,Knowledge gap - GRHS details in separate siloed file
Q216,Where can students find anti-ragging information at DAU?,Student Support Services,Easy,data/student_services/dean_students.md,"National Ragging Prevention Programme link and Anti-Ragging Committee & Squad details on the university website",Retrieved,Correct,PASS,,Anti-Ragging section in dean_students.md
Q217,What cultural activities does the Cultural Committee organize?,Cultural Activities,Medium,data/student_services/dean_students.md,"Events for cultural expression, festivals, and talent showcases",Retrieved,Correct,PASS,,Cultural Committee section in dean_students.md
Q218,What is Synapse at DAU?,Cultural Activities,Easy,data/student_services/dean_students.md,"The Largest Annual Techno-Cultural Fest of Gujarat, organized by the Annual Festival Committee",Retrieved,Correct,PASS,,dean_students.md Annual Festival Committee section
Q219,What is HackOut at DAU?,Cultural Activities,Easy,data/student_services/dean_students.md,HackOut is the Hackathon organized as part of Annual Festival Committee events,Retrieved,Correct,PASS,,dean_students.md Annual Festival Committee section
Q220,What is YouthRun at DAU?,Cultural Activities,Easy,data/student_services/dean_students.md,YouthRun is the Marathon organized as part of Annual Festival Committee events,Retrieved,Correct,PASS,,dean_students.md Annual Festival Committee section
Q221,What campus security arrangement does DAU have (round the clock)?,Campus Infrastructure,Easy,data/infrastructure/campus_security.md,"Round-the-clock security coverage through a registered private security company with well-trained security supervisors and guards",Retrieved,Correct,PASS,,campus_security.md
Q222,Who administers and monitors campus security at DAU?,Campus Infrastructure,Medium,data/infrastructure/campus_security.md,"Monitored by Institute administration and the centralized security set up of Reliance ADA Group",Retrieved,Correct,PASS,,campus_security.md
Q223,Can security staff ask students or visitors for identification?,Campus Infrastructure,Easy,data/infrastructure/campus_security.md,"Yes - security staff are authorized to ask for identification from students, employees, and campus visitors",Retrieved,Correct,PASS,,campus_security.md
Q224,Is rural internship mandatory for B.Tech students at DAU?,Student Support Services,Medium,data/student_services/dean_students.md,Yes - rural internship is a mandatory requirement of the B.Tech curriculum,Retrieved,Correct,PASS,,dean_students.md Important Information section
Q225,What should first-year students expect when joining DAU campus life?,Student Support Services,Medium,data/student_services/first_year_in_campus.md,Content from first_year_in_campus.md about campus life expectations,Partial Retrieval,Partial,PARTIAL FAIL,top_k=1 may retrieve dean_students.md (which has general info) instead of first_year_in_campus.md specifically,Requires first_year_in_campus.md as top match for complete answer
Q226,What academic advice is given to first-year students at DAU?,Student Support Services,Medium,data/student_services/first_year_in_campus.md,Content from first_year_in_campus.md about academic guidance,Partial Retrieval,Partial,PARTIAL FAIL,top_k=1 limitation - specific first-year academic guidance may only be in first_year_in_campus.md,Knowledge gap - first year guidance in separate file
Q227,Where is the DAU campus located?,Campus Maps & Locations,Easy,data/student_services/contact/location_contact.md,"DA-IICT Road, Gandhinagar 382 007, Gujarat, India",Retrieved,Correct,PASS,,location_contact.md provides full address
Q228,What is the full official name of the university (DAU)?,Campus Maps & Locations,Easy,data/student_services/contact/location_contact.md,Dhirubhai Ambani University (DAU) - formerly DA-IICT (Dhirubhai Ambani Institute of Information and Communication Technology),Retrieved,Correct,PASS,,Confirmed across multiple files including location_contact.md
Q229,What are the room types available in the New Men's HoR?,Hostel Facilities,Medium,data/infrastructure/halls_of_residence.md,"Triple and double occupancy rooms",Retrieved,Correct,PASS,,halls_of_residence.md
Q230,What type of internet connection is available in the Women's HoR?,Hostel Facilities,Easy,data/infrastructure/halls_of_residence.md,Wi-Fi as well as LAN connection,Retrieved,Correct,PASS,,dean_students.md FAQ section
Q231,What is Concours in the context of DAU sports?,Student Committees,Medium,data/student_services/dean_students.md,"Concours is an inter-university sports tournament organized by the Sports Committee",Retrieved,Correct,PASS,,Sports Committee section in dean_students.md
Q232,What is DCL (DAU Cricket League)?,Student Committees,Easy,data/student_services/dean_students.md,DCL is the DAU Cricket League - an intra-university cricket tournament organized by Sports Committee,Retrieved,Correct,PASS,,Sports Committee section in dean_students.md
Q233,What is the Inter-Wing Tournament at DAU?,Student Committees,Easy,data/student_services/dean_students.md,"A multi-sport event fostering unity, organized by the Sports Committee",Retrieved,Correct,PASS,,Sports Committee section in dean_students.md
Q234,What is Freshers' Weekend at DAU?,Student Committees,Easy,data/student_services/dean_students.md,"Sports activities for first-year students, organized by the Sports Committee",Retrieved,Correct,PASS,,Sports Committee section in dean_students.md
Q235,Which dance club won WALTZ in 2024?,Cultural Activities,Easy,data/student_services/dean_students.md,DADC (Dance Club) won WALTZ in 2024,Retrieved,Correct,PASS,,DADC section Notable Achievements in dean_students.md
Q236,What are the notable achievements of the DAU Theatres Group?,Cultural Activities,Medium,data/student_services/dean_students.md,"First Prize in Rangmanch at Waves BITS Goa 2023 & 2024; winning streak at Synapse Street Play since 2021",Retrieved,Correct,PASS,,DAU Theatres Group section in dean_students.md
Q237,What is i.Fest and which club organizes it?,Student Chapters & Societies,Easy,data/student_services/dean_students.md,i.Fest is organized by the IEEE Student Branch at DAU,Retrieved,Correct,PASS,,IEEE Student Branch section in dean_students.md
Q238,What is the flagship magazine published by the Press Club at DAU?,Student Clubs,Easy,data/student_services/dean_students.md,Entelechy,Retrieved,Correct,PASS,,Press Club section in dean_students.md
Q239,What is the campus newsletter published by the DAU Press Club called?,Student Clubs,Easy,data/student_services/dean_students.md,News & Nonsense,Retrieved,Correct,PASS,,Press Club section in dean_students.md
Q240,What sports disciplines does DAU compete in at district/state/national tournaments?,Sports Facilities,Medium,data/infrastructure/sports_complex.md,"Athletics, Table Tennis, Badminton, Basketball, Tennis, Cricket, Volleyball, Chess, and Football",Retrieved,Correct,PASS,,sports_complex.md explicitly lists all disciplines
Q241,What is the vision of the DAU Sports Department?,Sports Facilities,Medium,data/infrastructure/sports_complex.md,"All students will be physically educated, have motor skills to perform a variety of physical activities and pursue a healthy and active lifestyle in an increasingly changing world",Retrieved,Correct,PASS,,sports_complex.md Vision section
Q242,Can a sick student get food delivered to their hostel room?,Hostel Rules & Policies,Medium,data/student_services/rules/hostel_rules_and_regulations.md,"Yes - a sick student (certified by a doctor) can get food in the room with prior information to Hostel Supervisor",Retrieved,Correct,PASS,,Section 2 of hostel_rules_and_regulations.md
Q243,How should students or employees resolve disputes at DAU as a first step?,Student Support Services,Medium,data/student_services/grievance_redressal_cell.md,Insufficient if grievance_redressal_cell.md not retrieved at top_k=1,Partial Retrieval,Partial,PARTIAL FAIL,top_k=1 may not retrieve grievance_redressal_cell.md specifically for this query,Knowledge gap - dispute resolution steps in separate file
Q244,How can DAU students generate their Group Mediclaim insurance card?,Medical Facilities,Medium,data/student_services/medical_assistance_sop.md,Students can generate online at Reliance General Insurance portal: reliancegeneral.co.in/insurance/self-help/online-ecard.aspx,Retrieved,Correct,PASS,,medical_assistance_sop.md section 2
Q245,What should students do in a medical emergency outside Medical Centre working hours?,Medical Facilities,Medium,data/student_services/medical_assistance_sop.md,"Report directly to Hostel Supervisors or Security Supervisors who shall facilitate immediate assistance and hospital transfer",Retrieved,Correct,PASS,,medical_assistance_sop.md sections 1.5 and 6.4
Q246,Is there a 24x7 ambulance facility on the DAU campus?,Medical Facilities,Easy,data/student_services/medical_assistance_sop.md,Yes - University provides 24x7 ambulance facility on campus,Retrieved,Correct,PASS,,medical_assistance_sop.md section 1.4
Q247,What is the Kashka Hospital contact number for emergencies?,Medical Facilities,Medium,data/student_services/medical_assistance_sop.md,"+91 7575007707 (Emergency), +91 7575006000 (Appointments)",Retrieved,Correct,PASS,,medical_assistance_sop.md section 3
Q248,Who are the members of the DAC (Disciplinary Action Committee)?,Student Support Services,Hard,data/student_services/dean_students.md,"Dr. P S Kalyan Sasidhar (Dean Students), Dr. Madhu Kant Sharma (Resident Warden), Dr. Rutu Parekh (Member), Jigar Yagnik (Controller of Examination)",Retrieved,Correct,PASS,,DAC section in dean_students.md
