Question ID,Question,Expected Source,Retrieved Source,Answer Quality,Pass/Fail,Notes
Q195,What is the Group Mediclaim Insurance coverage amount for DAU students?,data/infrastructure/medical_facility.md, |  | 2. Group Mediclaim Insurance Coverage,Poor,Fail,Incorrect context retrieved but answer generated.
Q196,Which insurance company provides the DAU Group Mediclaim policy?,data/infrastructure/medical_facility.md, |  | 2. Group Mediclaim Insurance Coverage,Poor,Fail,Incorrect context retrieved but answer generated.
Q197,What type of medical treatment does the DAU Mediclaim policy cover?,data/infrastructure/medical_facility.md, |  | 2. Group Mediclaim Insurance Coverage,Poor,Fail,Incorrect context retrieved but answer generated.
Q198,What is the emergency intercom number for the DAU Medical Centre?,data/student_services/medical_assistance_sop.md,Academics | MEDICAL FACILITIES FOR STUDENTS OF DA-IICT | Main Content,Good,Pass,Answer generated successfully.
Q199,What is the landline number of the DAU Medical Centre for emergencies?,data/student_services/medical_assistance_sop.md,policies | medical assisstance | Main Content,Good,Pass,Answer generated successfully.
Q200,Who are the nurses at the Medical Centre and what are their hours?,data/student_services/medical_assistance_sop.md, |  | 1.3 Nursing Staff,Good,Pass,Answer generated successfully.
Q201,Is nursing staff available on weekends at the DAU Medical Centre?,data/student_services/medical_assistance_sop.md,policies | medical assisstance | Main Content,Good,Pass,Answer generated successfully.
Q202,What is the contact email of the DAU Medical Centre?,data/student_services/medical_assistance_sop.md, |  | Contact Information,Poor,Fail,Incorrect context retrieved and fallback triggered.
Q203,What hospitals are empanelled with DAU for student treatment (full list)?,data/student_services/medical_assistance_sop.md, |  | 2. Group Mediclaim Insurance Coverage,Poor,Fail,RAG fallback triggered (data missing or ambiguous).
Q204,What is the emergency contact number for SGVNS Swaminarayan Hospital?,data/student_services/medical_assistance_sop.md, |  | 3. Empanelled Hospitals,Good,Pass,Answer generated successfully.
Q205,What is the emergency contact number for Apollo Hospital Gandhinagar?,data/student_services/medical_assistance_sop.md, |  | 3. Empanelled Hospitals,Good,Pass,Answer generated successfully.
Q206,Does DAU have a counselling or stress management centre for students?,data/student_services/medical_assistance_sop.md, |  | Counsellors,Good,Pass,Answer generated successfully.
Q207,Who are the counsellors at the Stress Management Centre and when are they available?,data/student_services/medical_assistance_sop.md, |  | Counsellors,Good,Pass,Answer generated successfully.
Q208,Where is Dr. Nandini Banerjee's counselling room on campus?,data/student_services/medical_assistance_sop.md, |  | Counsellors,Good,Pass,Answer generated successfully.
Q209,What is the SBG structure in terms of committees and clubs?,data/student_services/dean_students.md, |  | SBG Core Team,Good,Pass,Answer generated successfully.
Q210,What is the overall role of the Student Body Government at DAU?,data/student_services/dean_students.md, |  | Student Body Government (SBG),Good,Pass,Answer generated successfully.
Q211,What is the Disciplinary Action Committee (DAC) and who are its members?,data/student_services/dean_students.md,Student_services | Students | Disciplinary Action Committee,Good,Pass,Answer generated successfully.
Q212,What is the direct contact number of the Dean of Students?,data/student_services/dean_students.md, |  | Officials,Good,Pass,Answer generated successfully.
Q213,What is the purpose of the Grievance Redressal Cell at DAU?,data/student_services/grievance_redressal_cell.md,administration | National Education Policy 2020 | Grievance Redressal:,Good,Pass,Answer generated successfully.
Q214,What types of grievances can students raise through the GRHS?,data/student_services/grievance_redressal_cell.md, |  | Main Content,Good,Pass,Answer generated successfully.
Q215,What matters are out of scope of the Grievance Redressal Handling System?,data/student_services/grievance_redressal_cell.md,policies | Grievance Redressal Cell (Students and Employees) | 1\. Scope,Good,Pass,Answer generated successfully.
Q216,Where can students find anti-ragging information at DAU?,data/student_services/dean_students.md,policies | Students / ANTI-RAGGING Committees & Squad Details | Main Content,Poor,Fail,Incorrect context retrieved but answer generated.
Q217,What cultural activities does the Cultural Committee organize?,data/student_services/dean_students.md, |  | Cultural Committee,Good,Pass,Answer generated successfully.
Q218,What is Synapse at DAU?,data/student_services/dean_students.md,administration | AnnualReport 2018-19 pdf | Main Content,Good,Pass,Answer generated successfully.
Q219,What is HackOut at DAU?,data/student_services/dean_students.md,Announcements | DAU Drives Innovation for a Sustainable Future with HackOut'25 | Overview,Poor,Fail,Incorrect context retrieved but answer generated.
Q220,What is YouthRun at DAU?,data/student_services/dean_students.md,administration | People / Alumini / Alumini Newsletter Vol1 No1 | Main Content,Poor,Fail,Incorrect context retrieved but answer generated.
Q221,What campus security arrangement does DAU have (round the clock)?,data/infrastructure/campus_security.md,Infrastructure | Campus Security | Overview,Good,Pass,Answer generated successfully.
Q222,Who administers and monitors campus security at DAU?,data/infrastructure/campus_security.md,Infrastructure | Campus Security | Campus Security,Good,Pass,Answer generated successfully.
Q223,Can security staff ask students or visitors for identification?,data/infrastructure/campus_security.md,Infrastructure | Campus Security | Campus Security,Good,Pass,Answer generated successfully.
Q224,Is rural internship mandatory for B.Tech students at DAU?,data/student_services/dean_students.md,administration | AnnualReport 2024-25 pdf | Main Content,Good,Pass,Answer generated successfully.
Q225,What should first-year students expect when joining DAU campus life?,data/student_services/first_year_in_campus.md, |  | Main Content,Good,Pass,Answer generated successfully.
Q226,What academic advice is given to first-year students at DAU?,data/student_services/first_year_in_campus.md, |  | Message from the Dean (Students),Poor,Fail,Incorrect context retrieved but answer generated.
Q227,Where is the DAU campus located?,data/student_services/contact/location_contact.md,administration | AnnualReport 2024-25 pdf | Main Content,Poor,Fail,Incorrect context retrieved but answer generated.
Q228,What is the full official name of the university (DAU)?,data/student_services/contact/location_contact.md,Announcements | 𝗗𝗔𝗨 𝗖𝗲𝗹𝗲𝗯𝗿𝗮𝘁𝗲𝘀 𝗜𝗻𝗱𝗶𝗮'𝘀 𝟳𝟵𝘁𝗵 𝗜𝗻𝗱𝗲𝗽𝗲𝗻𝗱𝗲𝗻𝗰𝗲 𝗗𝗮𝘆 | Overview,Poor,Fail,Incorrect context retrieved but answer generated.
Q229,What are the room types available in the New Men's HoR?,data/infrastructure/halls_of_residence.md,Infrastructure | Halls of Residence | Overview,Good,Pass,Answer generated successfully.
Q230,What type of internet connection is available in the Women's HoR?,data/infrastructure/halls_of_residence.md,Infrastructure | Halls of Residence | Main Content,Good,Pass,Answer generated successfully.
Q231,What is Concours in the context of DAU sports?,data/student_services/dean_students.md,Announcements | Concours 2025: A Celebration of Sports and Spirit at Dhirubhai Ambani University | Main Content,Poor,Fail,Incorrect context retrieved but answer generated.
Q232,What is DCL (DAU Cricket League)?,data/student_services/dean_students.md,Student_services | Students | Sports Committee,Good,Pass,Answer generated successfully.
Q233,What is the Inter-Wing Tournament at DAU?,data/student_services/dean_students.md,Student_services | Students | Sports Committee,Good,Pass,Answer generated successfully.
Q234,What is Freshers' Weekend at DAU?,data/student_services/dean_students.md,Announcements | Concours 2025: A Celebration of Sports and Spirit at Dhirubhai Ambani University | Overview,Poor,Fail,Incorrect context retrieved and fallback triggered.
Q235,Which dance club won WALTZ in 2024?,data/student_services/dean_students.md, |  | Dance Club (DADC),Good,Pass,Answer generated successfully.
Q236,What are the notable achievements of the DAU Theatres Group?,data/student_services/dean_students.md,Student_services | Students | DAU Theatres Group,Good,Pass,Answer generated successfully.
Q237,What is i.Fest and which club organizes it?,data/student_services/dean_students.md,administration | AnnualReport 2022-23 pdf | Main Content,Poor,Fail,Incorrect context retrieved but answer generated.
Q238,What is the flagship magazine published by the Press Club at DAU?,data/student_services/dean_students.md, |  | Press Club,Good,Pass,Answer generated successfully.
Q239,What is the campus newsletter published by the DAU Press Club called?,data/student_services/dean_students.md, |  | Press Club,Good,Pass,Answer generated successfully.
Q240,What sports disciplines does DAU compete in at district/state/national tournaments?,data/infrastructure/sports_complex.md,Student_services | Students | Sports Committee,Good,Pass,Answer generated successfully.
Q241,What is the vision of the DAU Sports Department?,data/infrastructure/sports_complex.md,administration | National Education Policy 2020 | Institutional Development Plan:,Good,Pass,Answer generated successfully.
Q242,Can a sick student get food delivered to their hostel room?,data/student_services/rules/hostel_rules_and_regulations.md,student_services | hall of residence | Main Content,Good,Pass,Answer generated successfully.
Q243,How should students or employees resolve disputes at DAU as a first step?,data/student_services/grievance_redressal_cell.md,administration | ICC / DAU Policy against Sexual Harassment | Main Content,Poor,Fail,Incorrect context retrieved but answer generated.
Q244,How can DAU students generate their Group Mediclaim insurance card?,data/student_services/medical_assistance_sop.md, |  | 2. Group Mediclaim Insurance Coverage,Good,Pass,Answer generated successfully.
Q245,What should students do in a medical emergency outside Medical Centre working hours?,data/student_services/medical_assistance_sop.md, |  | 1.5 Availability Beyond Working Hours,Good,Pass,Answer generated successfully.
Q246,Is there a 24x7 ambulance facility on the DAU campus?,data/student_services/medical_assistance_sop.md,Academics | MEDICAL FACILITIES FOR STUDENTS OF DA-IICT | Main Content,Poor,Fail,RAG fallback triggered (data missing or ambiguous).
Q247,What is the Kashka Hospital contact number for emergencies?,data/student_services/medical_assistance_sop.md, |  | 5. Key Emergency Contact Numbers,Good,Pass,Answer generated successfully.
Q248,Who are the members of the DAC (Disciplinary Action Committee)?,data/student_services/dean_students.md,Student_services | Students | Disciplinary Action Committee,Good,Pass,Answer generated successfully.
Q249,What are the key disciplinary rules for students at DAU?,data/student_services/dean_students.md,Academics | Student | Main Content,Good,Pass,Answer generated successfully.
Q250,How many clubs under SBG focus on technology (coding/engineering/cyber)?,data/student_services/dean_students.md, |  | Microsoft Student Technical Club (MSTC),Good,Pass,Answer generated successfully.

SUMMARY SECTION,,,,,,
Questions Tested,250,,,,,
Pass Count,205,,,,,
Fail Count,45,,,,,
Accuracy Percentage,82.00%,,,,,
