Question ID,Question,Category,Subcategory,Difficulty,Expected Source,Expected Answer
ACAD-171,Compare the grading policy of Elective Selection with the grading policy of Data Structures.,General,Policy Ambiguity,Medium,Program Regulations,Information from Program Regulations
ACAD-172,Which document has precedence when Capstone Project conflicts with Summer Term?,General,Acronym Disambiguation,Hard,Multiple Documents,Information from Multiple Documents
ACAD-173,"Using information from multiple PDFs, determine whether exceptions to Semester Withdrawal contradict the policy for Hostel Allocation.",General,Cross-Document Reasoning,Hard,Academic Handbook,Information from Academic Handbook
ACAD-174,Does the latest version of Academic Probation override the requirements listed in Machine Learning?,General,Citation Verification,Hard,Student Policy Manual,Information from Student Policy Manual
ACAD-175,"According to the academic handbook, can a student who completed Semester Withdrawal but not Scholarship Renewal enroll in Data Structures?",General,Policy Ambiguity,Hard,Course Catalog,Information from Course Catalog
ACAD-176,Does the latest version of Summer Term override the requirements listed in Course Registration?,General,Citation Verification,Easy,Multiple Documents,Information from Multiple Documents
ACAD-177,Which document has precedence when Elective Selection conflicts with Minor Degree?,General,Prerequisite Analysis,Easy,Course Catalog,Information from Course Catalog
ACAD-178,Which document has precedence when Data Structures conflicts with Major Degree?,General,Table Lookup,Easy,Academic Handbook,Information from Academic Handbook
ACAD-179,"According to the academic handbook, can a student who completed Thesis Submission but not Hostel Allocation enroll in Elective Selection?",General,Exam Regulations,Hard,Student Policy Manual,Information from Student Policy Manual
ACAD-180,"According to the academic handbook, can a student who completed Hostel Allocation but not Data Structures enroll in Semester Withdrawal?",General,Multi-Hop Retrieval,Hard,Course Catalog,Information from Course Catalog
